candidate_id,window,lapse_rate_k_per_km,site_minus_model_height_km,hours_above_273_15_k
yulong-2004,7d,9,2,2
yulong-2004,7d_buffered,4,-1,168
yulong-2004,7d_buffered,4,0,163
yulong-2004,7d_buffered,4,1,124
yulong-2004,7d_buffered,4,2,84
yulong-2004,7d_buffered,6.5,-1,168
yulong-2004,7d_buffered,6.5,0,163
yulong-2004,7d_buffered,6.5,1,95
yulong-2004,7d_buffered,6.5,2,22
yulong-2004,7d_buffered,9,-1,168
yulong-2004,7d_buffered,9,0,163
yulong-2004,7d_buffered,9,1,72
yulong-2004,7d_buffered,9,2,2
laguna513-2010,7d,4,-1,168
laguna513-2010,7d,4,0,168
laguna513-2010,7d,4,1,168
laguna513-2010,7d,4,2,85
laguna513-2010,7d,6.5,-1,168
laguna513-2010,7d,6.5,0,168
laguna513-2010,7d,6.5,1,136
laguna513-2010,7d,6.5,2,10
laguna513-2010,7d,9,-1,168
laguna513-2010,7d,9,0,168
laguna513-2010,7d,9,1,65
laguna513-2010,7d,9,2,0
laguna513-2010,7d_buffered,4,-1,168
laguna513-2010,7d_buffered,4,0,168
laguna513-2010,7d_buffered,4,1,168
laguna513-2010,7d_buffered,4,2,87
laguna513-2010,7d_buffered,6.5,-1,168
laguna513-2010,7d_buffered,6.5,0,168
laguna513-2010,7d_buffered,6.5,1,139
laguna513-2010,7d_buffered,6.5,2,11
laguna513-2010,7d_buffered,9,-1,168
laguna513-2010,7d_buffered,9,0,168
laguna513-2010,7d_buffered,9,1,66
laguna513-2010,7d_buffered,9,2,0
hillary-2014,7d,4,-1,148
hillary-2014,7d,4,0,101
hillary-2014,7d,4,1,0
hillary-2014,7d,4,2,0
hillary-2014,7d,6.5,-1,159
hillary-2014,7d,6.5,0,101
hillary-2014,7d,6.5,1,0
hillary-2014,7d,6.5,2,0
hillary-2014,7d,9,-1,164
hillary-2014,7d,9,0,101
hillary-2014,7d,9,1,0
hillary-2014,7d,9,2,0
hillary-2014,7d_buffered,4,-1,127
hillary-2014,7d_buffered,4,0,92
hillary-2014,7d_buffered,4,1,0
hillary-2014,7d_buffered,4,2,0
hillary-2014,7d_buffered,6.5,-1,145
hillary-2014,7d_buffered,6.5,0,92
hillary-2014,7d_buffered,6.5,1,0
hillary-2014,7d_buffered,6.5,2,0
hillary-2014,7d_buffered,9,-1,154
hillary-2014,7d_buffered,9,0,92
hillary-2014,7d_buffered,9,1,0
hillary-2014,7d_buffered,9,2,0
aysen-2007-mentirosa,7d,4,-1,168
aysen-2007-mentirosa,7d,4,0,168
aysen-2007-mentirosa,7d,4,1,113
aysen-2007-mentirosa,7d,4,2,15
aysen-2007-mentirosa,7d,6.5,-1,168
aysen-2007-mentirosa,7d,6.5,0,168
aysen-2007-mentirosa,7d,6.5,1,40
aysen-2007-mentirosa,7d,6.5,2,0
aysen-2007-mentirosa,7d,9,-1,168
aysen-2007-mentirosa,7d,9,0,168
