rgi_id,polygon_area_m2,intersected_area_m2,planar_relative_closure_error,geodesic_representation_difference,weight_sum
RGI2000-v7.0-G-13-66555,2733962.212092586,2733962.211966097,4.329869796038111e-15,4.626576899369184e-11,1
RGI2000-v7.0-G-13-66733,4128024.495721356,4128024.495721356,2.220446049250313e-16,0,1
RGI2000-v7.0-G-13-66890,2716916.956959463,2716916.956959463,1.221245327087672e-15,0,1
RGI2000-v7.0-G-13-67219,997823.2077064922,997823.2077064922,1.110223024625157e-16,0,1
RGI2000-v7.0-G-13-67932,1079062.95078227,1079062.95078227,1.221245327087672e-15,0,1
RGI2000-v7.0-G-17-23680,195321.716207315,195321.716207315,2.220446049250313e-16,0,1
RGI2000-v7.0-G-17-24686,447694.1034183325,447694.1034183325,6.661338147750939e-16,0,1
RGI2000-v7.0-G-17-24691,247938.0139662856,247938.0139662856,1.110223024625157e-16,0,1
RGI2000-v7.0-G-17-24694,335576.021450824,335576.021450824,2.220446049250313e-16,0,1
RGI2000-v7.0-G-17-24735,652082.2970902051,652082.2970902051,4.440892098500626e-16,0,1
RGI2000-v7.0-G-17-24851,177504.1866605423,177504.1866605423,3.33066907387547e-16,0,1
RGI2000-v7.0-G-17-24852,479240.6128411754,479240.6128411754,2.220446049250313e-16,0,1
RGI2000-v7.0-G-17-24868,217709.6480318528,217709.6480318528,1.110223024625157e-16,0,1
RGI2000-v7.0-G-17-24917,683568.6523370912,683568.6523370912,3.441691376337985e-15,0,1
RGI2000-v7.0-G-17-25037,296041.1375320535,296041.1375320535,4.440892098500626e-16,0,1
RGI2000-v7.0-G-17-25074,789717.4360028878,789717.4360028878,6.661338147750939e-16,0,1
RGI2000-v7.0-G-17-25190,209031.9655575759,209031.9655575759,6.661338147750939e-16,0,1
RGI2000-v7.0-G-17-25212,313617.4521595802,313617.4521595802,2.220446049250313e-16,0,1
RGI2000-v7.0-G-17-25231,501567.761280207,501567.761280207,0,0,1
RGI2000-v7.0-G-17-25532,1464484.720271345,1464484.720271345,5.551115123125783e-16,0,1
RGI2000-v7.0-G-17-25549,438690.9023309017,438690.9023309017,4.440892098500626e-16,0,1
RGI2000-v7.0-G-17-25684,1778796.783760946,1778796.783760946,1.554312234475219e-15,0,1
RGI2000-v7.0-G-17-25692,1293362.343488047,1293362.343488047,0,0,1
RGI2000-v7.0-G-17-25867,486315.8207256098,486315.8207256098,0,0,1
RGI2000-v7.0-G-17-29314,219721.4023501339,219721.4023501339,4.440892098500626e-16,0,1
RGI2000-v7.0-G-17-29328,329117.8159693183,329117.8159693183,2.220446049250313e-16,0,1
