candidate_id,matching_level,pool_size,rgi_id,digest,rank,selected
tinguiririca-2007,1,242,RGI2000-v7.0-G-17-25074,0b919259d5328456e16646a42cad2cb9d2f3031f3e5643f53c8ab56b3b9823e5,11,True
tinguiririca-2007,1,242,RGI2000-v7.0-G-17-24852,0bb925573272b68804e4279b779b3916cb1d290c544b8f04e5e711ea16465549,12,True
tinguiririca-2007,1,242,RGI2000-v7.0-G-17-23680,0bcbb9d1363697ecabf3940603267c92d85f77290df5c597cd8ce20cadc100ff,13,True
tinguiririca-2007,1,242,RGI2000-v7.0-G-17-25867,0c39212cf3b90a0f8866ab030f5600c1286db4005642f1538d492a7ed7f91be9,14,True
tinguiririca-2007,1,242,RGI2000-v7.0-G-17-25212,0c4334d1867d4b497e25698b16f683c2bd3ab6736f59b1477dbbcd8fbca57130,15,True
tinguiririca-2007,1,242,RGI2000-v7.0-G-17-25692,0d4393bd4aab852b94c20c2b8eb2aac1ca6e5d119b519ac034f94bdb41b0121b,16,True
tinguiririca-2007,1,242,RGI2000-v7.0-G-17-24686,0ef0de0ccae9893983f052f0a99cd09534eb6bad818a9e7f05b442d775c2c078,17,True
tinguiririca-2007,1,242,RGI2000-v7.0-G-17-29314,102d64e7c3235b335e242d9d1f1e6aebdd0c28a3da0a17e8a4a282c85b90302c,18,True
tinguiririca-2007,1,242,RGI2000-v7.0-G-17-24735,1040096153f15a6c326e5dd608d9257dba6bc8e123231ff03dffa45e384559ab,19,True
tinguiririca-2007,1,242,RGI2000-v7.0-G-17-25549,10b8bf6dbae79be7c1967f97515a7c3c96c5d5a20c6f566b05774fb9d1d75c92,20,True
kunlun-b2-2001,1,364,RGI2000-v7.0-G-13-51816,00286afc3a536d987b0218ee28c2f3b2dceed44c111710f21daf3268fb90ab4c,1,True
kunlun-b2-2001,1,364,RGI2000-v7.0-G-13-50246,006dd80e09c8620184da6e07c490ce608651bc4b603861da9a24e196500940f6,2,True
kunlun-b2-2001,1,364,RGI2000-v7.0-G-13-52905,0096e779a4b7c8faa95c43d50418b81755b73db5c9624b33022c4311f32d47cb,3,True
kunlun-b2-2001,1,364,RGI2000-v7.0-G-13-50873,00fdf1dc7cc278c12429f436c9a85d292220fa80f68fe6685420009c26ba21af,4,True
kunlun-b2-2001,1,364,RGI2000-v7.0-G-13-51964,010eadca174cce8d3a3cefd7d6f1e6b2499468d0fe42adc9dcda9cab05135861,5,True
kunlun-b2-2001,1,364,RGI2000-v7.0-G-13-52786,0153a9ade494dce5e48ba593c6827ca90a0369e13ea38dc4c38969a4220de26d,6,True
kunlun-b2-2001,1,364,RGI2000-v7.0-G-13-52073,0456e49bbeeaebba7d3fb0cc32828601127802df71cdecb6552005076e623f5a,7,True
kunlun-b2-2001,1,364,RGI2000-v7.0-G-13-53563,056aa16b54d0b8bc142a403c546606fb53ea22f1b1d0cdab22319392b03a9bfd,8,True
kunlun-b2-2001,1,364,RGI2000-v7.0-G-13-50759,0759f8b8911446be1ddd154d65db25be92778c07ccfee3067352631ae3ccae91,9,True
kunlun-b2-2001,1,364,RGI2000-v7.0-G-13-53613,09ede49588f6f57095c0cfb91987d4e648da44bad99c2848d6d76ecaa97347b7,10,True
kunlun-b2-2001,1,364,RGI2000-v7.0-G-13-50117,09f490a9114a8518c02d2804cfccba0d558866150228264e23996a2e45837dc2,11,True
kunlun-b2-2001,1,364,RGI2000-v7.0-G-13-53544,0a1c6758e54ee1a8c31c9be127e18655c6fc779d138e0663ae483b6a09a87c5c,12,True
kunlun-b2-2001,1,364,RGI2000-v7.0-G-13-52074,0a2b600b09bca53a7e348f501db2c91288ce01416ee2593490aa4479cb6a1d0f,13,True
kunlun-b2-2001,1,364,RGI2000-v7.0-G-13-51863,0c1b63190843c9ca2ca31a621f7ea29d07be06b006e2196882cd0fc74615b7dd,14,True
kunlun-b2-2001,1,364,RGI2000-v7.0-G-13-50357,0c47ef94c3d72fe4e6b1c91bcf014728296fd710c4a3ea802080dfddeb993935,15,True
kunlun-b2-2001,1,364,RGI2000-v7.0-G-13-51730,0c5adaa77898bf9ed2ce6b4db5ab0dde7803926986e8398171e1fec71f5ccfdb,16,True
kunlun-b2-2001,1,364,RGI2000-v7.0-G-13-50732,0c7cd22a014e3d4bfffc40b0cb5a66fbfa33975286c9f50ceb070c57f3522c76,17,True
kunlun-b2-2001,1,364,RGI2000-v7.0-G-13-52131,0c8c9992d9f4192174df1973c827af7fa760dd3384847d9f6ceee3471a626196,18,True
kunlun-b2-2001,1,364,RGI2000-v7.0-G-13-50870,0ce7b29a86e32190b69f7688e9321453360a9839df4f1fd22af91ea58299c368,19,True
kunlun-b2-2001,1,364,RGI2000-v7.0-G-13-50570,0d45037ceafbae13837b133577da239a2c103c15e5b22c95c8ec4e4eb1e8fa7d,20,True
kunlun-b4-2001,1,389,RGI2000-v7.0-G-13-49947,002b58e5553e84969c971ea3acb22247253be0b441e057ff4e77986c100826f4,1,True
kunlun-b4-2001,1,389,RGI2000-v7.0-G-13-51339,00ac1cc617619418ba37e808cb6136cac3753957f70705214af35327acf44e1a,2,True
kunlun-b4-2001,1,389,RGI2000-v7.0-G-13-50778,00fcc4f43446149474f52cb14f35b62f67acecc5f25a1fc32998b417d843e9e4,3,True
kunlun-b4-2001,1,389,RGI2000-v7.0-G-13-50045,011824f4daa9689a6a3040b0d27711fbed99424f8e21ef73704728b46159c0dc,4,True
kunlun-b4-2001,1,389,RGI2000-v7.0-G-13-50241,017fdb9a43f75ca6f7733d7b276f91835bf29554f300219be464cbeac950e5ab,5,True
kunlun-b4-2001,1,389,RGI2000-v7.0-G-13-50140,022a63ed42ffdd18ebc5ba576f89ed15f3d374d1a868ab0d6daeffd0c79548d7,6,True
kunlun-b4-2001,1,389,RGI2000-v7.0-G-13-51965,026cbbb9eb837c5100fe627f5ef8905c5fa16eee34b2d9a44586864fbf4582b4,7,True
kunlun-b4-2001,1,389,RGI2000-v7.0-G-13-52013,02e9e57f38c522b7af864d71cf11650e79482c91b3ae6ad00996abcf849c2606,8,True
kunlun-b4-2001,1,389,RGI2000-v7.0-G-13-52134,03fad9276110193fe2c751b3d50497c8c656dc867d6eb9b81953a6413d0a8b2a,9,True
kunlun-b4-2001,1,389,RGI2000-v7.0-G-13-51863,06feca5da00ca76415b92ac46b96884eb2ba06fe8aac5690fab638ba86593958,10,True
kunlun-b4-2001,1,389,RGI2000-v7.0-G-13-49946,0748718b1cfab6a391ea93279a92f467c7ff41a784cb66646548cfd219c17558,11,True
kunlun-b4-2001,1,389,RGI2000-v7.0-G-13-51792,077b4e13b4effb93a06d4b1f168bb83743aa4be1c655b52c9def4566e353b067,12,True
kunlun-b4-2001,1,389,RGI2000-v7.0-G-13-51677,08874dfb5e7564238f9620f841e4ec1c4acbcb985053f42a10c5783f7caeb2b0,13,True
kunlun-b4-2001,1,389,RGI2000-v7.0-G-13-53563,08e6c85b009cdda26e3531b60836638abd22a7d1236334a7bf7cdc391474e241,14,True
kunlun-b4-2001,1,389,RGI2000-v7.0-G-13-50759,09048fa62795879783dbcdd43dcc5af12b49efe4804f8edc7ecf3943bf41f796,15,True
kunlun-b4-2001,1,389,RGI2000-v7.0-G-13-53514,0b22c201515b50075a33fa4da7f36090bd2223fbb777bbf935b00c1692b957f4,16,True
